NID,BEH_NUM,NOM,KOLSAMPLE,DATA_REC,AUT_REC,NAZ,SPUT,AGE,STR,GEOGRAPHY,SIZE1,SIZE2,SIZE3,WEIGHT,PRESERV,PREPAR,NAME_KOL,NOM_KOL,NAME_KAT,NOM_KAT,AUT_FIND,AGE_FIND,FAMIL_DEL,YEAR_DEL,DESCR,LITERAT,LON,LAT
134,0006-0335,436,1,1996,Брюшкова Л.П.,"Золото,трахит",,,Румыния,Vorospotak,20см,13см,9см,2187.8,хорошая,,Разумовский,4,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"на крупной глыбе серого мелкозернистого трахита по поверхности трещины в пустотах мелкие кристаллы (0.5 см) кварца и ветвистые корочки золота; проба-700, лигатура-2.00 (экспертиза 1991г.-N355);",,24.302788,45.942138
138,0006-0336,440,1,1996,Брюшкова Л.П.,Золото,,,Румыния,"Boitza, Трансильвания",7.5,6.0,2.5,128.08,хорошая,,Разумовский,1-17,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,"плоский образец треугольной формы сложен черной кварцево-углистой брекчией; в пустотах по трещинам тонкие чешуйки (до 0.5х0.5 см) и веточки золота, образующие сетку, повторяющую трещинки; проба-583, лигатура-1.00 (экспертиза 1991г.-N291);",,,
139,0006-0353,441,1,1996,Коноплева В.И.,Золото,,,Румыния,Troicsa-Trestja Barbara Трансильвания,1.5,1.5,0.7,,хорошая,,Разумовский?,?,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1857,"золото - яркожелтая пластинка в кристалле волокнистого гипса, расположена по спайности; в нижней части кристалла темный прожилок, содержащий кристаллики темно-серых еребросодержащих минералов (штернбергита, гессита)",,,
140,0006-0329,442,1,1996,Брюшкова Л.П.,Золото,,,Румыния,Abrudbanya,12,10,5,846.81,хорошая,,,,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"крупный обломок темно-серой окварцеванной породы (метаморфизованная лава?) с пустотами, стенки которых выполнены кварцевыми щетками (индивиды до 2 мм); в пустотах - проволочное золото; экспертиза 1991г.-N294 (лигатура-0.50, проба-583);",,24.302788,45.942138
141,0006-0339,443,1,1996,Брюшкова Л.П.,Золото,Конгломерат кварцевый,,Румыния,"Трансильвания,Abrudbanya",14,11,7,834.22,хорошая,,Разумовский,16,,,Разумовский Г.К.,1937,"Молошников,МГРИ,МГУ",1858,"Образец в форме низкой пирамиды сложен серым кварцевым конгломератом; на поверхности образца - щетка кристаллов бесцветного кварца до 1,5 см; по кварцу моховидные образования золота, проба 583, лигатура 0,50, чистота - 0,29 (экспертиза 1991 г. - N296)",,,
142,0006-0340,444,1,1996,Брюшкова Л.П.,Золото,Трахит,,Румыния,"Трансильвания, Abrudbanya",12,7,4.5,500.65,хорошая,,Разумовский,?,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"Угловатый обломок сложен темно-серым мелкозернистым трахитом; на боковой стороне образца развивается корочка - щетка кварца, на которой золото образует тонкую сеточку мелко ветвистых кристаллов; проба-583, лигатура-0,20, чистота-0,17 (экспертиза 1991 г -N 310)",,,
143,0006-0341,445,1,1996,Брюшкова Л.П.,Золото,Трахит,,Румыния,"Трансильвания, Abrudbanya",15,7.5,6,693.06,хорошая,,Разумовский,?,,,Разумовский Г.К.,1837,"Молошников,МГРИ,МГУ",1858,"На угловатом обломке темно-серого мелкозернистого трахита на кварцевой поверхности щетка-корочка 2-4 мм кварца, а по нему - отдельные гнезда, чешуйки, веточки золота; проба -583, лигатура -1,2, чистота-0,70 (экспертиза 1991 г  N 287)",,,
145,0006-0337,447,2,1996,Брюшкова Л.П.,Золото,,,Румыния,Offenbanya,5.5,3.0,2.5,61.50,хорошая,,Разумовский,1-17,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,"1)небольшой образец трахита серого с моховым и чешуйчатым золотом по трещие; 2)обломок 1.0х0.6х0.6 см с гнездом 0.8 см золота мохового, вес-0.71; проба-750, лигатура- 1)1.00, 2)0.03 (экспертиза 1991г.-N284);",,24.302788,45.942138
147,0006-0344,449,1,1996,Брюшкова Л.П.,Золото,Трахит,,Румыния,Offenbanya,10,7,3,193.30,хорошая,,Разумовский,,,,,1902 до,"МГРИ,МГУ",1902 до,"плоский образец сложен темно-серым тонкозернистым трахитом; стенки пустот в породе выполнены тонкой щеткой (2-3 мм) бесцветного кварца, по которому или вместе с которым развивается золото в виде скелетных и ветвистых форм; проба - 700, лигатура -0,56 (экспертиза 1991 - N 288)",,24.302788,45.942138
148,0006-0354,450,1,1996,Коноплева В.И.,Золото,Аргентит,,Румыния,Offenbanya,0.15,0.15,0.15,,хорошая,,Разумовский,,,,Разумовский Г.К.,до 1837,"Молошников,МГРИ,МГУ",1858,"в пробирке: золото - один сросток кристаллов с трехгранной вершиной, внизу четыре ножевидных отростка, размер 1.5 мм; сросток покрыт рубашкой из мелких кристалликов аргентита и барита; аргентит - тонкая трубчатая корочка, в центре ее маленький кристаллик золота, едва просвечивающий из-под аргентитовой корочки; размер агрегатика около 1 мм",,24.302788,45.942138
149,0006-0342,452,1,1996,Брюшкова Л.П.,Золото,Трахит,,Румыния,Трансильвания,17,12,6,1122.8,хорошая,,Разумовский,9,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"На крупном плоском обломке темно-серого мелкозернистого трахита мелкими (1 см) и крупными (2 см) гнездами - корочки золота моховидного толщиной 1-1,5 мм; проба 600-583, лигатура - 2,00, чистота - 1,18(экспертиза 1991 г. - N 345)",,24.302788,45.942138
339,0006-0338,657,1,1996,Брюшкова Л.П.,Золото,,,Румыния,Трансильвания,8,4.5,3,132.72,хорошая,,Разумовский,,,,Разумовский Г.К.,1837 до,"МГА,МГРИ,МГУ",1930,"обломок трахита серого мелкозернистого; на поверхности тонкая корочка (3х1 см) мохового золота; проба-583, лигатура-0.2 (экспертиза 1991г.-N297);",,24.302788,45.942138
409,0006-0357,727,1,1996,Карский Б.Е.,"Самородное серебро, кварц, кальцит",,,Норвегия,Конгсберг,5,4,2,79,хорошая,,Разумовский,?,,,Разумовский,1837 до,"Молошников,МГРИ,МГУ",1858 до,"мелкие ветвистые древовидные самородки серебра до 0,3 см в серой мелкозернистой породе; образец тяжелый, содержание серебра по-видимому высокое; акт экспертизы от 24.02.91.- N49: проба 925-900, лигатура - 0,1г, чистый вес - 0,1г;",,9.650466,59.666739
420,0006-0347,738,1,1996,Брюшкова Л.П.,Серебро,,,Норвегия,,11,5.5,5,280.8,хорошая,,Разумовский,?,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ,МГУ",1858,"кальцитовая порода серая неравномернозернистая перекристаллизованная с богатой вкрапленностью серебра в форме язычков, веточек и др.; проба 960, лигатура - 20,0 (экспертиза 1991 г. - N 52)",,11.966377,64.570968
